Invoice Date,Capacity Rating,Energy Rating,Invoice Quantity,Sales Zone,Sales Location,Sales Channel,Sales Margin,Unnamed: 0,date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,day_of_week,month,is_weekend,sales_lag_1,temp_lag_1
2023-04-19,1.5,3,4,East,PTA,General Trade,0.15,116544.0,2023-04-19,0.7233009006503981,0.34455543480180567,0.5243902439024389,0.6494118179710939,0.0,0.0,0.0,0.0,1007.3,983.0078,0.195,0.0,0.0,65.0,17.533146,32.449963,340.8209,342.57004,19.44,0.3333333333333333,0.2727272727272727,0.0,3.0,0.7233009006503981
2023-04-20,1.5,3,3,East,PTA,General Trade,0.15,116568.0,2023-04-20,0.6844659206020143,0.5726971017524605,0.6637630313588849,0.6970117956571786,0.0,0.0,0.0,0.0,1003.3,979.0082,0.52800003,0.0,38.0,100.0,7.9932976,16.263872,352.23492,5.0795207,14.04,0.5,0.2727272727272727,0.0,4.0,0.7233009006503981
2023-04-20,1.5,3,5,East,PTA,General Trade,0.15,116568.0,2023-04-20,0.6844659206020143,0.5726971017524605,0.6637630313588849,0.6970117956571786,0.0,0.0,0.0,0.0,1003.3,979.0082,0.52800003,0.0,38.0,100.0,7.9932976,16.263872,352.23492,5.0795207,14.04,0.5,0.2727272727272727,0.0,3.0,0.6844659206020143
2023-04-20,1.5,3,6,East,PTA,General Trade,0.15,116568.0,2023-04-20,0.6844659206020143,0.5726971017524605,0.6637630313588849,0.6970117956571786,0.0,0.0,0.0,0.0,1003.3,979.0082,0.52800003,0.0,38.0,100.0,7.9932976,16.263872,352.23492,5.0795207,14.04,0.5,0.2727272727272727,0.0,5.0,0.6844659206020143
2023-04-20,1.5,3,10,East,PTA,General Trade,0.15,116568.0,2023-04-20,0.6844659206020143,0.5726971017524605,0.6637630313588849,0.6970117956571786,0.0,0.0,0.0,0.0,1003.3,979.0082,0.52800003,0.0,38.0,100.0,7.9932976,16.263872,352.23492,5.0795207,14.04,0.5,0.2727272727272727,0.0,6.0,0.6844659206020143
2023-04-20,1.5,3,5,East,PTA,General Trade,0.15,116568.0,2023-04-20,0.6844659206020143,0.5726971017524605,0.6637630313588849,0.6970117956571786,0.0,0.0,0.0,0.0,1003.3,979.0082,0.52800003,0.0,38.0,100.0,7.9932976,16.263872,352.23492,5.0795207,14.04,0.5,0.2727272727272727,0.0,10.0,0.6844659206020143
2023-04-21,1.5,3,10,East,PTA,General Trade,0.15,116592.0,2023-04-21,0.6375403911773084,0.5063447126813909,0.5696864459930313,0.6195461031437409,0.0,0.0,0.0,0.0,1002.9,978.50055,0.0,0.0,0.0,0.0,10.233123,21.203358,50.710617,49.820835,12.24,0.6666666666666666,0.2727272727272727,0.0,5.0,0.6844659206020143
2023-04-21,1.5,3,3,East,PTA,General Trade,0.15,116592.0,2023-04-21,0.6375403911773084,0.5063447126813909,0.5696864459930313,0.6195461031437409,0.0,0.0,0.0,0.0,1002.9,978.50055,0.0,0.0,0.0,0.0,10.233123,21.203358,50.710617,49.820835,12.24,0.6666666666666666,0.2727272727272727,0.0,10.0,0.6375403911773084
2023-04-21,1.5,3,20,East,PTA,Modern Trade,0.15,116592.0,2023-04-21,0.6375403911773084,0.5063447126813909,0.5696864459930313,0.6195461031437409,0.0,0.0,0.0,0.0,1002.9,978.50055,0.0,0.0,0.0,0.0,10.233123,21.203358,50.710617,49.820835,12.24,0.6666666666666666,0.2727272727272727,0.0,3.0,0.6375403911773084
2023-04-23,1.5,3,8,East,PTA,General Trade,0.15,116640.0,2023-04-23,0.6165047621516412,0.23399294896494355,0.31184667595818816,0.5255312061061608,0.0,0.0,0.0,0.0,1004.8,980.30115,0.37800003,0.0,33.0,60.0,14.113652,24.36325,322.25314,341.02948,15.4800005,1.0,0.2727272727272727,1.0,20.0,0.6375403911773084
2023-04-25,1.5,3,2,East,PTA,General Trade,0.15,116688.0,2023-04-25,0.5582523729852065,0.44493650561090364,0.4442508710801394,0.5143308329489805,0.0,0.0,0.0,0.0,1012.3,987.4694,0.0,0.0,0.0,0.0,11.808878,24.458813,127.568665,132.61403,18.0,0.16666666666666666,0.2727272727272727,0.0,8.0,0.6165047621516412
2023-04-28,1.5,3,4,East,PTA,General Trade,0.15,116760.0,2023-04-28,0.6294497770760735,0.4888657524814564,0.5487804878048781,0.6339562919085979,0.0,0.0,0.0,0.0,1009.1,984.5291,0.354,0.0,9.0,100.0,3.319036,4.0249224,49.398785,116.56499,6.8399997,0.6666666666666666,0.2727272727272727,0.0,2.0,0.5582523729852065
