"Invoice Date","Capacity Rating","Energy Rating","Invoice Quantity","Sales Zone","Sales Location","Sales Channel","Sales Margin"
"4/8/2024","1.5","3","20","South","MDI","General Trade","15%"
"4/8/2024","1.5","3","15","South","MDI","General Trade","15%"
"4/8/2024","1.5","3","5","South","MDI","General Trade","15%"
"4/8/2024","1.5","3","5","South","MDI","General Trade","15%"
"4/8/2024","1.5","3","5","South","MDI","General Trade","15%"
"4/8/2024","1.5","3","2","South","MDI","General Trade","15%"
"4/8/2024","1.5","3","3","South","MDI","General Trade","15%"
"4/8/2024","1.5","3","3","South","MDI","General Trade","15%"
"4/8/2024","1.5","3","3","South","MDI","General Trade","15%"
"4/8/2024","1.5","3","2","South","MDI","General Trade","15%"
"4/8/2024","1.5","3","3","South","MDI","General Trade","15%"
"4/8/2024","1.5","3","2","South","MDI","General Trade","15%"
"4/8/2024","1.5","3","1","South","MDI","General Trade","15%"
"4/8/2024","1.5","3","10","South","MDI","General Trade","15%"
"4/8/2024","1.5","3","20","South","MDI","General Trade","15%"
"4/8/2024","1.5","3","18","South","MDI","General Trade","15%"
"4/8/2024","1.5","3","2","South","MDI","General Trade","15%"
"4/9/2024","1.5","3","20","North","JPR","General Trade","15%"
"4/9/2024","1.5","3","10","North","JPR","General Trade","15%"
"4/9/2024","1.5","3","7","North","JPR","General Trade","15%"
"4/9/2024","1.5","3","10","North","JPR","General Trade","15%"
"4/9/2024","1.5","3","8","North","JPR","General Trade","15%"
"4/10/2024","1.5","3","10","West","PNE","General Trade","15%"
"4/10/2024","1.5","3","15","West","PNE","General Trade","15%"
"4/10/2024","1.5","3","5","North","JPR","General Trade","15%"
"4/10/2024","1.5","3","1","North","JPR","Modern Trade","15%"
"4/10/2024","1.5","3","3","North","JPR","Modern Trade","15%"
"4/10/2024","1.5","3","2","North","JPR","Modern Trade","15%"
"4/10/2024","1.5","3","5","North","JPR","General Trade","15%"
"4/10/2024","1.5","3","3","North","JPR","Modern Trade","15%"
"4/10/2024","1.5","3","150","North","JPR","General Trade","15%"
"4/10/2024","1.5","3","200","West","BHP","General Trade","15%"
"4/10/2024","1.5","3","20","North","JPR","General Trade","15%"
"4/10/2024","1.5","3","5","North","JPR","General Trade","15%"
"4/10/2024","1.5","3","5","South","MDI","General Trade","15%"
"4/10/2024","1.5","3","20","North","JPR","General Trade","15%"
"4/10/2024","1.5","3","20","North","JPR","General Trade","15%"
"4/10/2024","1.5","3","20","North","JPR","General Trade","15%"
"4/10/2024","1.5","3","15","North","JPR","General Trade","15%"
"4/10/2024","1.5","3","50","West","BHP","General Trade","15%"
"4/10/2024","1.5","3","100","West","BHP","General Trade","15%"
"4/10/2024","1.5","3","10","North","JPR","General Trade","15%"
"4/10/2024","1.5","3","150","West","BHP","General Trade","15%"
"4/10/2024","1.5","3","12","North","JPR","General Trade","15%"
"4/10/2024","1.5","3","100","West","BHP","General Trade","15%"
"4/10/2024","1.5","3","10","West","PNE","General Trade","15%"
"4/10/2024","1.5","3","75","South","MDI","General Trade","15%"
"4/10/2024","1.5","3","68","South","MDI","General Trade","15%"
"4/10/2024","1.5","3","25","South","MDI","General Trade","15%"
"4/11/2024","1.5","3","20","North","GZB","General Trade","15%"
"4/11/2024","1.5","3","20","North","GZB","General Trade","15%"
"4/11/2024","1.5","3","20","North","GZB","General Trade","15%"
"4/11/2024","1.5","3","20","North","GZB","General Trade","15%"
"4/11/2024","1.5","3","20","North","GZB","General Trade","15%"
"4/11/2024","1.5","3","20","North","GZB","General Trade","15%"
"4/11/2024","1.5","3","1","North","JPR","General Trade","15%"
"4/11/2024","1.5","3","12","North","JPR","General Trade","15%"
"4/11/2024","1.5","3","5","West","PNE","General Trade","15%"
"4/11/2024","1.5","3","15","East","DGP","General Trade","15%"
"4/11/2024","1.5","3","11","East","DGP","General Trade","15%"
"4/11/2024","1.5","3","25","South","MDI","General Trade","15%"
"4/11/2024","1.5","3","30","North","JPR","General Trade","15%"
"4/11/2024","1.5","3","130","North","JMU","General Trade","15%"
"4/11/2024","1.5","3","50","South","HBI","General Trade","15%"
"4/12/2024","1.5","3","11","East","DGP","General Trade","15%"
"4/12/2024","1.5","3","4","South","MDI","General Trade","15%"
"4/12/2024","1.5","3","5","North","JPR","Modern Trade","15%"
"4/12/2024","1.5","3","7","North","GZB","Modern Trade","15%"
"4/12/2024","1.5","3","5","North","LKW","General Trade","15%"
"4/12/2024","1.5","3","100","South","MDI","General Trade","15%"
"4/12/2024","1.5","3","9","East","DGP","General Trade","15%"
"4/12/2024","1.5","3","20","North","LKW","General Trade","15%"
"4/12/2024","1.5","3","20","North","LKW","General Trade","15%"
"4/12/2024","1.5","3","10","North","LKW","General Trade","15%"
"4/12/2024","1.5","3","20","North","JPR","General Trade","15%"
"4/12/2024","1.5","3","80","East","PTA","Modern Trade","15%"
"4/12/2024","1.5","3","90","North","GRN","Modern Trade","15%"
"4/12/2024","1.5","3","20","North","GZB","General Trade","15%"
"4/12/2024","1.5","3","20","North","GZB","General Trade","15%"
"4/12/2024","1.5","3","20","North","GZB","General Trade","15%"
"4/12/2024","1.5","3","13","North","GZB","General Trade","15%"
"4/12/2024","1.5","3","20","North","LKW","General Trade","15%"
"4/12/2024","1.5","3","20","North","LKW","General Trade","15%"
"4/12/2024","1.5","3","10","North","LKW","General Trade","15%"
"4/13/2024","1.5","3","75","South","KCI","Modern Trade","15%"
"4/13/2024","1.5","3","20","North","JPR","General Trade","15%"
"4/13/2024","1.5","3","3","East","DGP","General Trade","15%"
"4/13/2024","1.5","3","120","North","GRN","General Trade","15%"
"4/13/2024","1.5","3","30","North","GRN","General Trade","15%"
"4/13/2024","1.5","3","150","North","GZB","General Trade","15%"
"4/13/2024","1.5","3","100","West","BHP","General Trade","15%"
"4/13/2024","1.5","3","50","West","BHP","General Trade","15%"
"4/13/2024","1.5","3","5","North","JPR","General Trade","15%"
"4/13/2024","1.5","3","50","South","KCI","General Trade","15%"
"4/13/2024","1.5","3","3","West","PNE","General Trade","15%"
"4/13/2024","1.5","3","8","West","PNE","General Trade","15%"
"4/13/2024","1.5","3","10","West","PNE","General Trade","15%"
"4/13/2024","1.5","3","7","West","PNE","General Trade","15%"
"4/14/2024","1.5","3","150","North","GRN","General Trade","15%"
"4/14/2024","1.5","3","100","West","PNE","Modern Trade","15%"
"4/14/2024","1.5","3","88","South","MDI","General Trade","15%"
"4/14/2024","1.5","3","150","North","GZB","General Trade","15%"
"4/14/2024","1.5","3","15","West","BHP","General Trade","15%"
"4/14/2024","1.5","3","6","West","BHP","General Trade","15%"
"4/14/2024","1.5","3","20","West","BHP","General Trade","15%"
"4/14/2024","1.5","3","10","West","BHP","General Trade","15%"
"4/14/2024","1.5","3","20","North","LKW","General Trade","15%"
"4/14/2024","1.5","3","5","North","LKW","General Trade","15%"
"4/14/2024","1.5","3","10","West","BHP","General Trade","15%"
"4/14/2024","1.5","3","10","West","BHP","General Trade","15%"
"4/14/2024","1.5","3","20","West","BHP","General Trade","15%"
"4/14/2024","1.5","3","20","West","BHP","General Trade","15%"
"4/14/2024","1.5","3","5","West","BHP","General Trade","15%"
"4/14/2024","1.5","3","10","West","BHP","General Trade","15%"
"4/14/2024","1.5","3","30","North","GRN","General Trade","15%"
"4/14/2024","1.5","3","30","North","GRN","General Trade","15%"
"4/14/2024","1.5","3","10","West","BHP","Modern Trade","15%"
"4/14/2024","1.5","3","10","North","LKW","General Trade","15%"
"4/14/2024","1.5","3","5","North","GRN","Modern Trade","15%"
"4/14/2024","1.5","3","10","North","LKW","General Trade","15%"
"4/14/2024","1.5","3","1","North","GRN","Modern Trade","15%"
"4/14/2024","1.5","3","5","North","GRN","Modern Trade","15%"
"4/14/2024","1.5","3","10","North","GRN","Modern Trade","15%"
"4/14/2024","1.5","3","10","North","GRN","Modern Trade","15%"
"4/14/2024","1.5","3","2","North","LKW","General Trade","15%"
"4/14/2024","1.5","3","1","North","LKW","General Trade","15%"
"4/14/2024","1.5","3","2","North","LKW","General Trade","15%"
"4/14/2024","1.5","3","5","North","LKW","General Trade","15%"
"4/14/2024","1.5","3","4","North","LKW","General Trade","15%"
"4/14/2024","1.5","3","5","North","LKW","General Trade","15%"
"4/14/2024","1.5","3","1","North","LKW","General Trade","15%"
"4/15/2024","1.5","3","20","West","PNE","General Trade","15%"
"4/15/2024","1.5","3","20","West","PNE","General Trade","15%"
"4/15/2024","1.5","3","20","North","LKW","General Trade","15%"
"4/15/2024","1.5","3","5","North","LKW","General Trade","15%"
"4/15/2024","1.5","3","150","North","JPR","General Trade","15%"
"4/15/2024","1.5","3","150","North","JPR","General Trade","15%"
"4/15/2024","1.5","3","40","North","GRN","General Trade","15%"
"4/15/2024","1.5","3","20","West","PNE","General Trade","15%"
"4/15/2024","1.5","3","20","South","MDI","General Trade","15%"
"4/15/2024","1.5","3","20","South","MDI","General Trade","15%"
"4/15/2024","1.5","3","5","South","MDI","General Trade","15%"
"4/15/2024","1.5","3","1","North","GRN","General Trade","15%"
"4/15/2024","1.5","3","5","North","GRN","General Trade","15%"
"4/15/2024","1.5","3","5","North","GRN","General Trade","15%"
"4/15/2024","1.5","3","15","North","GRN","Modern Trade","15%"
"4/15/2024","1.5","3","5","South","MDI","General Trade","15%"
"4/15/2024","1.5","3","13","South","MDI","General Trade","15%"
