Invoice Date,Invoice Quantity,Sales Zone,Sales Location,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m
2023-04-21,5,North,Gurgaon,21.867,65.31079,15.066999,0.0,1002.8,977.1853,0.0,6.9247384,62.10283
2023-04-21,5,North,Gurgaon,21.867,65.31079,15.066999,0.0,1002.8,977.1853,0.0,6.9247384,62.10283
2023-04-25,4,North,Ghaziabad,19.9285,58.035725,11.4285,0.0,1012.5,987.84326,0.0,10.1887,122.00535
2023-04-15,5,North,Jaipur,25.7545,37.33578,10.1045,0.0,1008.3,977.4151,30.000002,7.5685663,295.34613
2023-04-17,10,North,Jaipur,26.654501,40.556778,12.1545,0.0,1006.4,975.66406,6.0,9.693296,248.19853
2023-04-17,15,North,Jaipur,26.654501,40.556778,12.1545,0.0,1006.4,975.66406,6.0,9.693296,248.19853
2023-04-18,44,North,Jaipur,25.7045,39.89227,11.054501,0.0,1007.8,976.9252,8.700001,4.73506,261.2539
2023-04-19,6,North,Jaipur,27.4545,25.388847,5.9045,0.0,1005.3,974.67804,0.0,7.928178,272.6025
2023-04-20,2,North,Jaipur,29.3545,28.28202,9.1045,0.0,1002.0,971.66656,0.0,12.599999,270.0
2023-04-24,4,North,Lucknow,21.7,59.619637,13.5,0.0,1009.8,996.22076,80.4,7.6367526,81.86999
2023-04-04,7,South,Hubli,19.9455,64.265976,12.9955,0.0,1009.8,939.6469,1.2,7.2,323.13
2023-04-05,5,South,Hubli,20.0455,76.29639,15.7455,0.0,1010.3,940.1349,0.0,6.9899354,281.88864
2023-04-05,5,South,Hubli,20.0455,76.29639,15.7455,0.0,1010.3,940.1349,0.0,6.9899354,281.88864
2023-04-05,4,South,Hubli,20.0455,76.29639,15.7455,0.0,1010.3,940.1349,0.0,6.9899354,281.88864
2023-04-06,20,South,Hubli,22.2455,77.854225,18.1955,0.0,1010.6,940.915,9.6,7.653705,228.81418
2023-04-06,1,South,Hubli,22.2455,77.854225,18.1955,0.0,1010.6,940.915,9.6,7.653705,228.81418
2023-04-07,10,South,Hubli,24.6955,63.659714,17.345499,0.0,1011.0,941.8369,7.8,7.24486,63.435013
2023-04-10,3,South,Hubli,22.1455,92.350716,20.845499,0.0,1012.3,942.47504,0.0,2.1897945,350.53775
2023-04-10,15,South,Hubli,22.1455,92.350716,20.845499,0.0,1012.3,942.47504,0.0,2.1897945,350.53775
2023-04-10,15,South,Hubli,22.1455,92.350716,20.845499,0.0,1012.3,942.47504,0.0,2.1897945,350.53775
2023-04-10,5,South,Hubli,22.1455,92.350716,20.845499,0.0,1012.3,942.47504,0.0,2.1897945,350.53775
2023-04-12,10,South,Hubli,21.1455,93.734795,20.095499,0.0,1012.3,942.2479,0.0,8.287822,357.5105
2023-04-12,5,South,Hubli,21.1455,93.734795,20.095499,0.0,1012.3,942.2479,0.0,8.287822,357.5105
2023-04-12,5,South,Hubli,21.1455,93.734795,20.095499,0.0,1012.3,942.2479,0.0,8.287822,357.5105
2023-04-12,1,South,Hubli,21.1455,93.734795,20.095499,0.0,1012.3,942.2479,0.0,8.287822,357.5105
2023-04-13,3,South,Hubli,21.845499,80.278046,18.2955,0.0,1011.8,941.9416,7.5000005,4.3349743,311.63345
2023-04-13,25,South,Hubli,21.845499,80.278046,18.2955,0.0,1011.8,941.9416,7.5000005,4.3349743,311.63345
2023-04-14,3,South,Hubli,24.0455,86.20151,21.595499,0.0,1011.6,942.25104,29.400002,5.692099,235.30478
2023-04-14,6,South,Hubli,24.0455,86.20151,21.595499,0.0,1011.6,942.25104,29.400002,5.692099,235.30478
2023-04-14,2,South,Hubli,24.0455,86.20151,21.595499,0.0,1011.6,942.25104,29.400002,5.692099,235.30478
2023-04-14,2,South,Hubli,24.0455,86.20151,21.595499,0.0,1011.6,942.25104,29.400002,5.692099,235.30478
2023-04-14,2,South,Hubli,24.0455,86.20151,21.595499,0.0,1011.6,942.25104,29.400002,5.692099,235.30478
2023-04-14,2,South,Hubli,24.0455,86.20151,21.595499,0.0,1011.6,942.25104,29.400002,5.692099,235.30478
2023-04-14,3,South,Hubli,24.0455,86.20151,21.595499,0.0,1011.6,942.25104,29.400002,5.692099,235.30478
2023-04-14,1,South,Hubli,24.0455,86.20151,21.595499,0.0,1011.6,942.25104,29.400002,5.692099,235.30478
2023-04-14,2,South,Hubli,24.0455,86.20151,21.595499,0.0,1011.6,942.25104,29.400002,5.692099,235.30478
2023-04-14,1,South,Hubli,24.0455,86.20151,21.595499,0.0,1011.6,942.25104,29.400002,5.692099,235.30478
2023-04-14,1,South,Hubli,24.0455,86.20151,21.595499,0.0,1011.6,942.25104,29.400002,5.692099,235.30478
2023-04-14,1,South,Hubli,24.0455,86.20151,21.595499,0.0,1011.6,942.25104,29.400002,5.692099,235.30478
2023-04-14,1,South,Hubli,24.0455,86.20151,21.595499,0.0,1011.6,942.25104,29.400002,5.692099,235.30478
2023-04-14,1,South,Hubli,24.0455,86.20151,21.595499,0.0,1011.6,942.25104,29.400002,5.692099,235.30478
2023-04-14,2,South,Hubli,24.0455,86.20151,21.595499,0.0,1011.6,942.25104,29.400002,5.692099,235.30478
2023-04-14,1,South,Hubli,24.0455,86.20151,21.595499,0.0,1011.6,942.25104,29.400002,5.692099,235.30478
2023-04-14,1,South,Hubli,24.0455,86.20151,21.595499,0.0,1011.6,942.25104,29.400002,5.692099,235.30478
2023-04-14,2,South,Hubli,24.0455,86.20151,21.595499,0.0,1011.6,942.25104,29.400002,5.692099,235.30478
2023-04-14,5,South,Hubli,24.0455,86.20151,21.595499,0.0,1011.6,942.25104,29.400002,5.692099,235.30478
2023-04-14,2,South,Hubli,24.0455,86.20151,21.595499,0.0,1011.6,942.25104,29.400002,5.692099,235.30478
2023-04-14,2,South,Hubli,24.0455,86.20151,21.595499,0.0,1011.6,942.25104,29.400002,5.692099,235.30478
2023-04-14,5,South,Hubli,24.0455,86.20151,21.595499,0.0,1011.6,942.25104,29.400002,5.692099,235.30478
2023-04-14,15,South,Hubli,24.0455,86.20151,21.595499,0.0,1011.6,942.25104,29.400002,5.692099,235.30478
2023-04-15,15,South,Hubli,23.6955,61.057884,15.7455,0.0,1012.5,943.0109,51.9,13.746156,44.999897
2023-04-15,20,South,Hubli,23.6955,61.057884,15.7455,0.0,1012.5,943.0109,51.9,13.746156,44.999897
2023-04-15,20,South,Hubli,23.6955,61.057884,15.7455,0.0,1012.5,943.0109,51.9,13.746156,44.999897
2023-04-15,7,South,Hubli,23.6955,61.057884,15.7455,0.0,1012.5,943.0109,51.9,13.746156,44.999897
2023-04-17,1,South,Hubli,22.8955,99.09506,22.7455,0.0,1010.2,940.6893,85.5,8.435069,230.19447
2023-04-17,1,South,Hubli,22.8955,99.09506,22.7455,0.0,1010.2,940.6893,85.5,8.435069,230.19447
2023-04-18,3,South,Hubli,22.6455,99.39476,22.5455,0.0,1011.0,941.3777,90.0,9.931042,223.53127
2023-04-18,3,South,Hubli,22.6455,99.39476,22.5455,0.0,1011.0,941.3777,90.0,9.931042,223.53127
2023-04-18,15,South,Hubli,22.6455,99.39476,22.5455,0.0,1011.0,941.3777,90.0,9.931042,223.53127
2023-04-18,1,South,Hubli,22.6455,99.39476,22.5455,0.0,1011.0,941.3777,90.0,9.931042,223.53127
2023-04-18,20,South,Hubli,22.6455,99.39476,22.5455,0.0,1011.0,941.3777,90.0,9.931042,223.53127
2023-04-19,2,South,Hubli,23.095499,98.2,22.7955,0.0,1009.8,940.3615,22.5,4.32,270.0
2023-04-19,1,South,Hubli,23.095499,98.2,22.7955,0.0,1009.8,940.3615,22.5,4.32,270.0
2023-04-19,1,South,Hubli,23.095499,98.2,22.7955,0.0,1009.8,940.3615,22.5,4.32,270.0
2023-04-19,2,South,Hubli,23.095499,98.2,22.7955,0.0,1009.8,940.3615,22.5,4.32,270.0
2023-04-19,1,South,Hubli,23.095499,98.2,22.7955,0.0,1009.8,940.3615,22.5,4.32,270.0
2023-04-19,7,South,Hubli,23.095499,98.2,22.7955,0.0,1009.8,940.3615,22.5,4.32,270.0
