Invoice Date,Invoice Quantity,Sales Zone,Sales Location
4/16/2024,2,West,PNE
4/16/2024,5,South,MDI
4/16/2024,3,South,MDI
4/16/2024,50,South,HBI
4/16/2024,50,South,HBI
4/16/2024,5,West,BHP
4/16/2024,5,West,BHP
4/16/2024,8,South,MDI
4/16/2024,5,South,MDI
4/16/2024,10,South,MDI
4/16/2024,5,South,MDI
4/16/2024,5,South,MDI
4/16/2024,5,South,MDI
4/16/2024,110,North,GRN
4/16/2024,150,East,DGP
4/16/2024,2,West,BHP
4/16/2024,20,South,HBI
4/16/2024,15,South,HBI
4/17/2024,100,South,MDI
4/17/2024,100,South,MDI
4/17/2024,19,East,DGP
4/17/2024,20,East,DGP
4/17/2024,5,East,DGP
4/17/2024,18,North,JMU
4/17/2024,150,South,KCI
4/17/2024,150,North,DLI
4/17/2024,125,North,GZB
4/17/2024,1,West,BHP
4/17/2024,1,West,BHP
4/17/2024,12,North,JMU
4/17/2024,20,North,GRN
4/17/2024,25,North,JMU
4/17/2024,25,North,JMU
4/17/2024,15,South,HBI
4/17/2024,100,South,HBI
4/17/2024,3,South,MDI
4/17/2024,10,South,MDI
4/17/2024,10,South,MDI
4/17/2024,8,South,MDI
4/17/2024,30,North,JMU
4/17/2024,5,South,MDI
4/17/2024,15,South,HBI
4/17/2024,7,North,JMU
4/17/2024,30,North,JMU
4/17/2024,5,South,MDI
4/17/2024,5,South,MDI
4/17/2024,7,South,MDI
4/17/2024,7,South,MDI
4/17/2024,10,South,MDI
4/17/2024,3,West,PNE
4/17/2024,2,West,PNE
4/17/2024,150,South,MDI
4/17/2024,5,West,BHP
4/17/2024,2,West,BHP
4/17/2024,3,North,LKW
4/17/2024,4,South,HBI
4/18/2024,10,West,PNE
4/18/2024,15,West,PNE
4/18/2024,1,South,HBI
4/18/2024,2,South,HBI
4/18/2024,5,South,HBI
4/18/2024,13,South,HBI
4/18/2024,2,South,HBI
4/18/2024,10,South,HBI
4/18/2024,3,South,HBI
4/18/2024,2,South,HBI
4/18/2024,2,South,HBI
4/18/2024,1,South,HBI
4/18/2024,50,West,BHP
4/18/2024,1,North,JPR
4/18/2024,5,North,JPR
4/18/2024,25,West,BHP
4/18/2024,10,North,JPR
4/18/2024,1,North,JPR
4/18/2024,100,West,BHP
4/18/2024,15,North,GRN
4/18/2024,20,North,DLI
4/18/2024,4,North,GRN
4/18/2024,3,South,HBI
4/18/2024,5,West,PNE
4/18/2024,20,West,PNE
4/18/2024,20,West,PNE
4/18/2024,20,West,PNE
4/18/2024,20,West,PNE
4/18/2024,20,West,PNE
4/18/2024,11,East,DGP
4/18/2024,34,East,DGP
4/18/2024,54,East,DGP
4/19/2024,2,South,HBI
4/19/2024,1,South,HBI
4/19/2024,2,South,HBI
4/19/2024,5,South,HBI
4/19/2024,1,South,HBI
4/19/2024,2,South,HBI
4/19/2024,2,South,HBI
4/19/2024,3,South,HBI
4/19/2024,2,South,HBI
4/19/2024,2,South,HBI
4/19/2024,10,South,HBI
4/19/2024,4,South,HBI
4/19/2024,1,South,HBI
4/19/2024,1,South,HBI
4/19/2024,20,North,DLI
4/19/2024,20,North,DLI
4/19/2024,10,North,DLI
4/19/2024,15,North,GRN
4/19/2024,3,West,BHP
4/19/2024,20,North,DLI
4/19/2024,100,North,GRN
4/19/2024,150,South,MDI
4/19/2024,2,North,GZB
4/19/2024,210,North,GZB
4/19/2024,200,North,GRN
4/19/2024,10,North,LKW
4/19/2024,7,North,DLI
4/19/2024,10,North,DLI
4/19/2024,25,North,GRN
4/19/2024,26,North,GRN
4/19/2024,20,North,GRN
4/19/2024,5,North,DLI
4/19/2024,6,North,DLI
4/19/2024,2,North,DLI
4/19/2024,5,West,BHP
4/19/2024,20,West,PNE
4/19/2024,5,West,PNE
4/19/2024,10,North,LKW
4/19/2024,16,West,PNE
4/19/2024,20,West,PNE
4/19/2024,10,West,PNE
4/20/2024,20,North,DLI
4/20/2024,20,North,DLI
4/20/2024,20,North,DLI
4/20/2024,20,North,DLI
4/20/2024,20,North,DLI
4/20/2024,20,North,DLI
4/20/2024,10,North,DLI
4/20/2024,20,North,DLI
4/20/2024,20,North,DLI
4/20/2024,20,North,DLI
4/20/2024,1,North,DLI
4/20/2024,9,North,DLI
4/20/2024,20,North,GRN
4/20/2024,5,South,MDI
4/20/2024,120,South,HBI
4/20/2024,30,South,HBI
4/20/2024,200,East,DGP
4/20/2024,200,East,DGP
4/20/2024,160,North,JMU
4/20/2024,160,North,JMU
4/20/2024,150,North,DLI
4/20/2024,70,East,DGP
4/20/2024,100,South,MDI
4/20/2024,90,South,MDI
4/20/2024,5,West,PNE
4/21/2024,20,North,LKW
4/21/2024,100,East,DGP
4/21/2024,100,South,KCI
4/22/2024,20,North,GZB
4/22/2024,20,North,GZB
4/22/2024,20,North,GZB
4/22/2024,20,North,GZB
4/22/2024,20,North,GZB
4/22/2024,10,North,GZB
4/22/2024,20,North,GZB
4/22/2024,10,North,DLI
4/22/2024,150,East,DGP
4/22/2024,150,East,DGP
4/22/2024,3,North,LKW
4/22/2024,2,North,GRN
4/22/2024,15,East,DGP
4/22/2024,11,North,GRN
4/22/2024,20,North,JPR
4/22/2024,1,East,DGP
