Invoice Quantity,City,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,Day,Month,Weekday,Year,temperature_2m_7day_avg,relative_humidity_2m_7day_avg,wind_speed_10m_7day_avg
70,Durgapur,35.597582875,23.54407733333333,8.4642501,34.37073175,0.0,0.0,0.0,0.0,1001.825,991.7933975,5.687500168333333,0.0,7.791666666666667,3.375,9.942404670833334,15.666138075,271.2462679166667,286.74239708333334,20.05499952083333,19,4,2,2023,35.597582875,23.54407733333333,9.942404670833334
120,Durgapur,31.632999375,21.56828875,5.0642500833333335,29.616294916666664,0.0,0.0,0.0,0.0,1009.5166666666668,999.2781954166668,0.35,0.0,0.5833333333333334,0.0,8.995033879166668,16.011265675,286.32805125,296.87054366666666,18.719999604166667,11,4,1,2023,31.611471750000003,37.86258144444444,8.88870153888889
40,Durgapur,31.632999375,21.56828875,5.0642500833333335,29.616294916666664,0.0,0.0,0.0,0.0,1009.5166666666668,999.2781954166668,0.35,0.0,0.5833333333333334,0.0,8.995033879166668,16.011265675,286.32805125,296.87054366666666,18.719999604166667,11,4,1,2023,31.61685365625,33.78900827083333,8.915284623958334
120,Durgapur,34.34133308333333,24.77736420833333,10.072583570833332,33.60767958333333,0.0,0.0,0.0,0.0,1006.6208333333334,996.5010695833332,11.575000545833332,0.0,3.4166666666666665,31.75,8.281185429166667,12.707836883333334,264.71449130416664,282.51442441666666,18.55499925,14,4,4,2023,32.161749541666666,31.98667945833333,8.788464785
100,Durgapur,32.34549966666667,50.507644,19.81841620833333,35.07778354166667,0.0,0.0,0.0,0.0,1003.725,993.57072125,30.000001708333333,1.0833333333333333,5.916666666666667,84.91666666666667,9.776554566666666,15.924948666666667,76.04294654166667,64.503601,20.489999708333333,13,5,5,2023,28.79222586309524,73.96340598214286,6.661119596726191
50,Durgapur,32.34549966666667,50.507644,19.81841620833333,35.07778354166667,0.0,0.0,0.0,0.0,1003.725,993.57072125,30.000001708333333,1.0833333333333333,5.916666666666667,84.91666666666667,9.776554566666666,15.924948666666667,76.04294654166667,64.503601,20.489999708333333,13,5,5,2023,29.55055918452381,69.45895708333333,7.196438534821428
100,Durgapur,32.34549966666667,50.507644,19.81841620833333,35.07778354166667,0.0,0.0,0.0,0.0,1003.725,993.57072125,30.000001708333333,1.0833333333333333,5.916666666666667,84.91666666666667,9.776554566666666,15.924948666666667,76.04294654166667,64.503601,20.489999708333333,13,5,5,2023,30.308892505952382,64.9545081845238,7.731757472916667
70,Durgapur,31.693416291666665,65.14686166666667,23.53299958333333,36.448805416666666,0.2291666666666666,0.2291666666666666,0.0,0.0,1004.3916666666668,994.2093183333332,23.63750002916667,16.833333333333332,8.416666666666666,11.458333333333334,9.618528841666668,15.697660995833331,160.17702483333332,166.53982741666667,21.5399995625,19,5,4,2023,30.97407105952381,62.54137609523809,8.244501307440476
90,Durgapur,33.6204995,53.557086625,20.295499766666666,36.513845125,0.0,0.0,0.0,0.0,1004.6291666666666,994.5062904166666,5.087500208333333,0.0,8.25,0.4583333333333333,11.996322041666668,19.57394520833333,185.20701166666663,191.66134208333327,24.674999666666665,21,5,6,2023,31.684487708333336,59.4056156547619,9.202636136011904
120,Durgapur,32.11008304166666,65.80538225,24.180916375,36.95017575,0.0249999999999999,0.0249999999999999,0.0,0.0,1005.4125,995.23352875,14.437500308333334,5.75,4.541666666666667,21.791666666666668,11.878249195833334,18.263304141666666,123.00267720833334,129.4585869583333,25.814999416666662,22,5,0,2023,31.855023446428568,59.3209504047619,10.290818989285714
90,Durgapur,32.11008304166666,65.80538225,24.180916375,36.95017575,0.0249999999999999,0.0249999999999999,0.0,0.0,1005.4125,995.23352875,14.437500308333334,5.75,4.541666666666667,21.791666666666668,11.878249195833334,18.263304141666666,123.00267720833334,129.4585869583333,25.814999416666662,22,5,0,2023,32.36722583928572,57.40537782738095,10.671573282142855
120,Durgapur,27.037166416666665,82.03878629166667,23.226749583333334,32.19601166666667,0.4541666666666666,0.4541666666666666,0.0,0.0,1006.2833333333332,995.924565,18.46250075833333,1.5833333333333333,15.208333333333334,26.375,6.0293220000000005,10.070149095833331,168.20517816666666,166.561252875,16.51499977083333,26,5,4,2023,31.60889251785714,61.90982672619048,10.13625434404762
